ticker,market_cap,price,volume,sector,industry
VECO,1829542016,30.41,1210412,Technology,Semiconductor Equipment & Materials
VEEV,48329916416,294.86,761355,Healthcare,Health Information Services
VEL,726873536,18.91,104037,Financial Services,Mortgage Finance
VEON,3860963072,43.565,192720,Communication Services,Telecom Services
VERA,1546419840,24.19,1273578,Healthcare,Biotechnology
VERI,400282112,5.71,7556510,Technology,Software - Infrastructure
VERX,3112390656,19.51,1667563,Technology,Software - Application
VET,1281174016,8.35,1925658,Energy,Oil & Gas E&P
VFC,5720210944,14.64,3908735,Consumer Cyclical,Apparel Manufacturing
VFF,333426752,2.96,2470000,Consumer Defensive,Farm Products
VFS,8022127616,3.43,398782,Consumer Cyclical,Auto Manufacturers
VG,19399294976,7.99,9299507,Energy,Oil & Gas Midstream
VGM,550454464,10.15,152965,Financial Services,Asset Management
VGZ,206548800,1.65,663232,Basic Materials,Gold
VIAV,3975171584,17.81,3875866,Technology,Communication Equipment
VICI,32427737088,30.34,8659864,Real Estate,REIT - Diversified
VICR,3903979520,87.43,544342,Technology,Electronic Components
VIK,25891153920,58.39,2775062,Consumer Cyclical,Travel Services
VIOT,205929312,3.03,310888,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VIPS,9199379456,18.66,1880266,Consumer Cyclical,Internet Retail
VIR,713711360,5.13,1693256,Healthcare,Biotechnology
VIRT,7593471488,35.64,735013,Financial Services,Capital Markets
VIST,5043746304,48.1,993266,Energy,Oil & Gas E&P
VITL,1587704576,34.68,1091765,Consumer Defensive,Farm Products
VIV,20111153152,12.55,694703,Communication Services,Telecom Services
VKQ,537307840,9.71,204316,Financial Services,Asset Management
VKTX,4156346368,36.77,4634889,Healthcare,Biotechnology
VLN,162487088,1.58,655435,Technology,Semiconductors
VLO,53565771776,175.62,1968019,Energy,Oil & Gas Refining & Marketing
VLRS,763674816,6.63,336984,Industrials,Airlines
VLTO,24484601856,98.61,998584,Industrials,Pollution & Treatment Controls
VLY,6196667392,11.05,7486653,Financial Services,Banks - Regional
VMC,37961207808,287.3,1372566,Basic Materials,Building Materials
VMD,242174064,6.37,156722,Healthcare,Medical Devices
VMEO,1305326848,7.83,2272879,Technology,Software - Application
VMI,8033119232,407.78,180456,Industrials,Conglomerates
VMO,651477056,9.66,355614,Financial Services,Asset Management
VNDA,260025184,4.4,604224,Healthcare,Biotechnology
VNET,2678067968,9.65,2789502,Technology,Information Technology Services
VNO,7767553536,37.21,1366532,Real Estate,REIT - Office
VNOM,12023940096,37.55,1192618,Energy,Oil & Gas Midstream
VNT,5507995648,37.96,895129,Technology,Scientific & Technical Instruments
VOD,27637385216,11.58,5037522,Communication Services,Telecom Services
VOR,128168064,18.7,331341,Healthcare,Biotechnology
VOXR,279004384,3.95,260286,Basic Materials,Other Precious Metals & Mining
VOYA,6885600256,72.01,708541,Financial Services,Financial Conglomerates
VOYG,1396395520,23.45,3484704,Industrials,Aerospace & Defense
