Beta,0.697,0.309,1.486,1.545,5.992,2.962,1.513,1.553,1.23,0.894
Momentum 1M (%),6.83,5.43,-2.0,-10.16,23.08,22.94,8.89,-2.0,5.81,-14.41
Momentum 3M (%),-8.62,-13.92,-12.85,15.0,123.94,45.43,-15.2,2.87,20.7,-3.12
Momentum 6M (%),2.48,-4.46,-12.33,-14.04,264.2,62.24,-38.95,7.16,-2.56,45.78
Momentum 1Y (%),21.13,-10.62,-32.87,-28.62,223.36,162.09,-65.06,0.08,19.72,33.38
Relative Strength (%),56.45,23.5,8.8,27.59,98.85,86.49,9.41,56.3,74.53,61.53
Price vs 50MA (%),-0.81,-3.3,-1.97,-3.11,31.84,21.16,5.97,-6.5,9.21,-12.7
Price vs 200MA (%),2.12,-10.09,-13.42,-10.26,142.62,57.64,-25.28,10.74,15.35,11.24
Current Volume,1152673,313605,4101138,668757,1759120,4859556,3930338,10908381,33701399,2010964
Avg Volume 1M,3735394,643447,4646944,1006126,3322843,3690993,6795930,25132389,96213647,4779374
Avg Volume 3M,4661059,602265,4235041,1329711,3378962,3448982,9016206,36731387,96849373,3743229
Volume Change 1M (%),-69.14,-51.26,-11.75,-33.53,-47.06,31.66,-42.17,-56.6,-64.97,-57.92
Volume Change 3M (%),-75.27,-47.93,-3.16,-49.71,-47.94,40.9,-56.41,-70.3,-65.2,-46.28
Volume Change 6M (%),-74.94,-40.03,3.29,-47.21,-34.75,62.37,-47.85,-74.42,-64.07,-56.85
Volume Change 1Y (%),-74.43,-42.19,8.61,-22.72,-30.4,55.61,-33.84,-81.82,-62.94,-51.8
Volume Ratio (Avg),0.24,0.52,0.98,0.5,0.51,1.4,0.43,0.29,0.34,0.53
Volume Trend (10d/Avg),0.9,1.02,1.51,0.74,0.88,1.33,0.75,0.74,0.58,1.79
Volume Ratio 1M,0.31,0.49,0.88,0.66,0.53,1.32,0.58,0.43,0.35,0.42
Volume Ratio 3M,0.25,0.52,0.97,0.5,0.52,1.41,0.44,0.3,0.35,0.54
Volume Ratio 6M,0.25,0.6,1.03,0.53,0.65,1.62,0.52,0.26,0.36,0.43
Volume Ratio 1Y,0.26,0.58,1.09,0.77,0.7,1.56,0.66,0.18,0.37,0.48
